UserId,Date,Revenue
1833302,27-03-2017,20
1836937,10-03-2017,17.82
1838670,13-10-2016,18.95
1840354,30-12-2016,17.05
1840354,19-06-2017,17.56
1860057,24-01-2017,18.76
1862459,05-12-2016,11.68
1870718,13-10-2016,30
1871770,20-11-2016,18.76
1875951,29-03-2017,20
1875951,30-03-2017,20
1875951,02-04-2017,20
1875951,21-04-2017,20
1875951,27-04-2017,20
1875951,07-05-2017,20
1875951,11-05-2017,20
1875951,25-05-2017,20
1898372,03-12-2016,1070
1898372,06-12-2016,20
1898372,07-12-2016,20
1905665,04-02-2017,17.05
1905665,02-08-2017,17.47
1905665,06-08-2017,17.56
1905665,13-09-2017,17.91
1907382,26-12-2016,52.52
1909115,27-11-2016,11.68
1909115,19-01-2017,12.4
1909115,27-01-2017,12.4
1909115,07-05-2017,14.42
1909115,28-05-2017,14.76
1909867,26-02-2017,20
1914253,31-03-2017,20
1915977,16-01-2017,17.05
1920020,27-01-2017,20
1938362,10-02-2017,20
1938362,09-03-2017,20
1938362,25-03-2017,20
1938362,03-07-2017,20
1938362,29-08-2017,20
1962310,24-01-2017,17.05
1978033,06-11-2016,20
1978075,11-01-2017,20
1978075,19-05-2017,20
1978075,26-06-2017,30
1978075,28-06-2017,100
1978075,01-07-2017,50
1978075,02-07-2017,90
1978075,05-07-2017,20
1978075,06-07-2017,50
1978075,07-07-2017,60
1978075,08-07-2017,120
1978075,10-07-2017,20
1978075,12-07-2017,20
1978075,14-07-2017,20
1978075,15-07-2017,20
1978075,20-07-2017,40
1980325,09-11-2016,50
1980325,10-11-2016,50
1980325,11-11-2016,20
1980325,12-11-2016,20
1980325,19-08-2017,20
1984531,01-03-2017,11.68
1984574,26-10-2016,20
1984574,12-07-2017,20
1985150,01-12-2016,20
1985299,26-09-2016,17.05
1985299,28-10-2016,17.16
1985420,07-04-2017,20
1995887,02-12-2016,17.05
1995887,25-05-2017,50.91
1997444,15-11-2016,17.05
1997444,10-05-2017,17.56
1997883,26-03-2017,30
1999950,24-10-2016,25
2000334,08-12-2016,151
2000801,14-03-2017,20
2000801,23-09-2017,20
2003057,14-03-2017,17.05
2005655,21-03-2017,17.05
2008767,02-11-2016,22.27
2011718,19-02-2017,370
2011718,20-02-2017,50
2011718,21-02-2017,300
2011718,22-02-2017,120
2011718,07-03-2017,30
2011718,10-03-2017,30
2011718,16-03-2017,25
2011718,19-03-2017,1190
2011718,20-03-2017,60
2011718,21-03-2017,30
2011718,23-03-2017,20
2011718,21-04-2017,310
2016940,16-01-2017,20
2025406,13-11-2016,20
2025406,16-11-2016,60
2025406,26-11-2016,140
2025406,08-01-2017,120
2025406,24-03-2017,20
2025406,07-05-2017,100
2025406,19-06-2017,20
2025406,18-07-2017,40
2028366,17-04-2017,17.05
2034938,06-05-2017,20
2034938,10-05-2017,20
2034938,14-05-2017,20
2034938,22-05-2017,20
2034938,24-05-2017,20
2034938,03-06-2017,50
2034938,04-06-2017,50
2034938,08-06-2017,80
2034938,09-06-2017,20
2042702,07-04-2017,17.05
2043772,05-01-2017,17.05
2055007,28-03-2017,48.27
2055007,25-04-2017,36.51
2055007,26-04-2017,36.51
2055007,27-05-2017,69.87
2055007,29-05-2017,30.38
2055007,30-05-2017,12.15
2055007,12-06-2017,11.98
2055007,18-06-2017,14.98
2055007,24-06-2017,11.98
2063036,15-12-2016,20
2087613,18-01-2017,11.68
2088269,01-02-2017,17.05
2088468,01-05-2017,11.68
2088598,20-01-2017,20
2091524,07-01-2017,11.68
2098285,21-03-2017,20
2098285,06-08-2017,20
2100379,22-12-2016,17.05
2106398,04-01-2017,18.76
2109393,21-12-2016,20
2109393,23-12-2016,20
2109393,24-12-2016,20
2109393,19-01-2017,20
2109393,26-02-2017,20
2109393,17-04-2017,20
2109393,06-05-2017,20
2109393,05-07-2017,20
2109393,09-08-2017,20
2114939,07-11-2016,56.27
2114939,09-11-2016,23.45
2114939,11-11-2016,24.09
2114939,17-11-2016,24.09
2114939,18-11-2016,30.84
2114939,19-11-2016,43.37
2114939,21-11-2016,19.28
2114939,03-12-2016,24.09
2114939,13-01-2017,22.21
2114939,20-03-2017,18.42
2114939,15-06-2017,29.9
2114981,08-10-2016,17.05
2120371,03-04-2017,18.76
2122510,01-03-2017,20
2127797,30-03-2017,20
2127797,14-05-2017,20
2127797,17-05-2017,20
2127797,07-06-2017,20
2127797,07-08-2017,20
2127797,08-08-2017,20
2127797,11-08-2017,20
2127797,12-08-2017,20
2127797,14-08-2017,20
2127797,15-08-2017,20
2127797,17-08-2017,20
2127797,18-08-2017,20
2139284,17-04-2017,25
2149244,09-12-2016,18.76
2149244,15-12-2016,56.27
2149863,05-05-2017,20
2153441,12-04-2017,20
2157270,01-03-2017,17.82
2157848,11-12-2016,17.05
2165883,08-04-2017,17.05
2165883,12-04-2017,17.05
2165883,21-04-2017,17.16
2166080,12-04-2017,17.05
2166080,23-05-2017,17.09
2171075,06-01-2017,20
2179532,26-03-2017,20
2181012,28-02-2017,17.05
2181012,13-03-2017,42.91
2181012,06-04-2017,17.09
2181012,19-04-2017,21.36
2181012,15-06-2017,21.11
2210234,20-11-2016,20
2210234,21-11-2016,70
2210234,12-12-2016,50
2210234,16-12-2016,50
2210234,22-12-2016,100
2210234,24-12-2016,200
2210234,29-01-2017,40
2214220,19-12-2016,17.05
2215688,08-11-2016,17.05
2216504,25-11-2016,18.76
2218115,13-11-2016,17.82
2218115,19-11-2016,18.18
2218115,10-12-2016,18.18
2218115,07-01-2017,35.77
2218476,28-01-2017,17.82
2218476,01-02-2017,35.63
2220470,22-12-2016,50
2222166,03-05-2017,17.82
2222794,31-10-2016,35.63
2222794,24-03-2017,17.87
2222794,27-04-2017,18.24
2222794,02-08-2017,18.34
2224938,24-11-2016,494
2224938,26-11-2016,70
2226188,20-11-2016,11.68
2226583,02-02-2017,18.76
2227416,09-11-2016,11.68
2227416,05-05-2017,11.81
